Name,Price,24h Change,Market Cap,Price (USD),24h Change (%),Market Cap (USD),Timestamp
,"CoinMarketCap 20 Index DTF
CMC20",0.06%,,,0.06,,2025-12-12 12:42:27
,"Bitcoin
BTC",0.21%,,,0.21,,2025-12-12 12:42:27
,"Ethereum
ETH",0.03%,,,0.03,,2025-12-12 12:42:27
,"Tether
USDT",0.02%,,,0.02,,2025-12-12 12:42:27
,"XRP
XRP",0.08%,,,0.08,,2025-12-12 12:42:27
,"BNB
BNB",0.23%,,,0.23,,2025-12-12 12:42:27
,"USDC
USDC",0.02%,,,0.02,,2025-12-12 12:42:27
,"Solana
SOL",0.26%,,,0.26,,2025-12-12 12:42:27
,"TRON
TRX",0.06%,,,0.06,,2025-12-12 12:42:27
,"Dogecoin
DOGE",0.01%,,,0.01,,2025-12-12 12:42:27
,"CoinMarketCap 20 Index DTF
CMC20",0.50%,,,,,2025-12-12 12:50:37
,"Bitcoin
BTC",0.25%,,,,,2025-12-12 12:50:37
,"Ethereum
ETH",0.11%,,,,,2025-12-12 12:50:37
,"Tether
USDT",0.00%,,,,,2025-12-12 12:50:37
,"XRP
XRP",0.06%,,,,,2025-12-12 12:50:37
,"BNB
BNB",0.10%,,,,,2025-12-12 12:50:37
,"USDC
USDC",0.00%,,,,,2025-12-12 12:50:37
,"Solana
SOL",0.49%,,,,,2025-12-12 12:50:37
,"TRON
TRX",0.09%,,,,,2025-12-12 12:50:37
,"Dogecoin
DOGE",0.07%,,,,,2025-12-12 12:50:37
,"CoinMarketCap 20 Index DTF
CMC20",0.50%,,,0.5,,2025-12-12 12:54:19
,"Bitcoin
BTC",0.14%,,,0.14,,2025-12-12 12:54:19
,"Ethereum
ETH",0.02%,,,0.02,,2025-12-12 12:54:19
,"Tether
USDT",0.00%,,,0.0,,2025-12-12 12:54:19
,"XRP
XRP",0.06%,,,0.06,,2025-12-12 12:54:19
,"BNB
BNB",0.09%,,,0.09,,2025-12-12 12:54:19
,"USDC
USDC",0.00%,,,0.0,,2025-12-12 12:54:19
,"Solana
SOL",0.49%,,,0.49,,2025-12-12 12:54:19
,"TRON
TRX",0.09%,,,0.09,,2025-12-12 12:54:19
,"Dogecoin
DOGE",0.07%,,,0.07,,2025-12-12 12:54:19
